date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,中国:国债收益率:10年,中国:国债收益率:1年,中债国债到期收益率:5年,中债国债到期收益率:30年,中债国开债到期收益率:10年,SHIBOR:3个月,R007,利率互换:FR007:1年
2025-06-26,115.717,115.661,115.727,115.635,728838,8430600004,0.08,-0.03,-0.029,15.98,108.995,109.035,108.925,108.95,52163,202431,1.6561,1.3637,1.5139,1.8491,1.685,1.63,1.9195,1.5364
2025-06-27,115.7,115.778,115.806,115.663,742000,8586849107,0.12,0.1,0.117,16.27,108.98,109.1,108.955,109.045,68735,204393,1.6529,1.3577,1.5065,1.8496,1.6825,1.63,1.9201,1.5294
2025-06-30,115.85,115.668,115.85,115.639,693311,8019262468,0.18,-0.1,-0.11,15.2,109.025,109.045,108.88,108.895,77133,196973,1.6553,1.3469,1.5129,1.8611,1.69,1.63,2.0056,1.5432
2025-07-01,115.776,115.781,115.798,115.681,851695,9858483756,0.1,0.1,0.113,18.68,108.925,109.01,108.91,109.005,63387,199030,1.6523,1.3427,1.5075,1.8516,1.681,1.628,1.6175,1.5396
2025-07-02,115.828,115.909,115.913,115.828,800385,9274350740,0.07,0.11,0.128,17.55,109.03,109.13,109.03,109.13,57955,206519,1.6464,1.3403,1.4975,1.8451,1.677,1.6195,1.569,1.5223
2025-07-03,115.921,115.945,115.949,115.909,999638,11589176925,0.03,0.03,0.036,21.92,109.15,109.155,109.0,109.105,64924,206020,1.6451,1.3404,1.4933,1.8486,1.6825,1.606,1.517,1.5145
2025-07-04,115.938,115.972,115.99,115.93,701971,8140736660,0.05,0.02,0.027,15.39,109.09,109.145,109.085,109.1,60839,214140,1.6439,1.3377,1.4929,1.8516,1.685,1.597,1.4881,1.5039
2025-07-07,115.996,115.973,115.996,115.964,754926,8755316927,0.03,0.0,0.001,16.56,109.125,109.175,109.085,109.105,49192,216298,1.6482,1.3381,1.4932,1.8536,1.685,1.579,1.5,1.5086
2025-07-08,115.96,115.909,115.96,115.859,709927,8227714593,0.09,-0.06,-0.064,15.57,109.105,109.105,108.97,109.02,61895,208754,1.6496,1.348,1.5032,1.8596,1.694,1.57,1.5058,1.5216
2025-07-09,115.929,115.879,115.94,115.819,753890,8734998408,0.1,-0.03,-0.03,16.53,109.02,109.05,108.96,109.05,59539,203681,1.6508,1.3638,1.5141,1.8566,1.695,1.562,1.504,1.5323
2025-07-10,115.885,115.765,115.897,115.752,757322,8770308005,0.13,-0.1,-0.114,16.61,109.015,109.03,108.83,108.845,77570,202427,1.6562,1.3714,1.5236,1.8746,1.7165,1.559,1.5208,1.5405
