date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,中国:国债收益率:10年,中国:国债收益率:1年,中债国债到期收益率:5年,中债国债到期收益率:30年,中债国开债到期收益率:10年,SHIBOR:3个月,R007,利率互换:FR007:1年
2025-03-21,113.64,113.581,113.657,113.443,560402,6362523862,0.19,0.08,0.086,12.29,107.475,107.52,107.3,107.37,4189,15009,1.8387,1.5374,1.6981,2.0676,1.8783,1.968,1.8179,1.7256
2025-03-24,113.458,113.489,113.558,113.325,508408,5770160374,0.21,-0.08,-0.092,11.15,107.33,107.55,107.22,107.53,4075,15126,1.85,1.5393,1.6927,2.0501,1.8609,1.961,1.8098,1.722
2025-03-25,113.813,113.739,113.911,113.647,483550,5499985711,0.23,0.22,0.25,10.6,107.705,107.81,107.59,107.615,3236,14959,1.8148,1.5218,1.6773,2.0276,1.8533,1.942,2.1985,1.7191
2025-03-26,113.695,113.875,113.882,113.605,418473,4759940542,0.24,0.12,0.136,9.18,107.58,107.9,107.55,107.9,2336,15199,1.8309,1.5227,1.6517,2.0001,1.8233,1.934,2.2525,1.7129
2025-03-27,113.873,113.921,113.945,113.764,407752,4643262376,0.16,0.04,0.046,8.94,107.86,108.015,107.785,107.83,3805,15389,1.8079,1.5165,1.6579,2.0101,1.8448,1.924,2.2932,1.7036
2025-03-28,113.798,113.743,113.942,113.739,529511,6028926828,0.18,-0.16,-0.178,11.61,107.805,108.08,107.805,107.915,5915,15719,1.8126,1.5161,1.6562,2.0251,1.8583,1.921,2.257,1.7028
2025-03-31,113.78,113.831,113.906,113.726,646358,7358818539,0.16,0.08,0.088,14.17,107.88,108.055,107.835,107.895,4176,16004,1.8209,1.5176,1.6523,2.0226,1.8409,1.912,2.303,1.7053
2025-04-01,113.99,114.017,114.06,113.929,596955,6805654958,0.12,0.16,0.186,13.09,107.92,107.98,107.77,107.795,2949,16289,1.8063,1.5354,1.6669,2.0201,1.8459,1.907,1.9802,1.7136
2025-04-02,114.138,114.411,114.427,114.052,715591,8175029149,0.33,0.35,0.394,15.69,107.795,108.075,107.795,108.07,3737,16430,1.809,1.5451,1.6368,1.9801,1.818,1.902,1.9051,1.7066
2025-04-03,114.88,115.0,115.027,114.619,783643,8999296261,0.36,0.51,0.589,17.18,108.35,108.655,108.32,108.61,6587,15896,1.7476,1.5025,1.5616,1.9052,1.7385,1.871,1.7428,1.6379
2025-04-07,115.668,115.755,115.767,115.37,470120,5433178483,0.35,0.66,0.755,10.31,109.12,109.21,108.92,109.2,6686,15461,1.6475,1.4506,1.4967,1.8252,1.6675,1.824,1.7605,1.5456
2025-04-08,115.346,115.296,115.468,115.279,501886,5790650111,0.16,-0.4,-0.459,11.01,109.1,109.155,108.94,108.945,5872,16721,1.6549,1.4506,1.5452,1.8551,1.7075,1.81,1.8716,1.5531
2025-04-09,115.43,115.271,115.489,115.228,608053,7012101256,0.23,-0.02,-0.025,13.33,109.05,109.32,109.0,109.085,8472,16922,1.65,1.4559,1.5216,1.8552,1.705,1.806,1.8435,1.5349
2025-04-10,115.155,115.241,115.255,114.8,471596,5424689001,0.39,-0.03,-0.03,10.34,108.99,109.215,108.845,109.07,6574,18017,1.664,1.4323,1.4916,1.8602,1.7,1.8,1.7618,1.5119
2025-04-11,115.37,115.147,115.44,115.036,465983,5370983342,0.35,-0.08,-0.094,10.22,109.225,109.295,108.935,109.04,6676,18735,1.6421,1.3977,1.4895,1.8627,1.7,1.786,1.7014,1.466
2025-04-14,115.075,115.14,115.18,114.978,568596,6544760812,0.18,-0.01,-0.007,12.47,108.925,109.145,108.88,109.145,5089,19599,1.674,1.4028,1.5043,1.8602,1.7025,1.777,1.7416,1.4896
